id,insee_code,town_name,zip_code,routing_label,line_5,geopoint
24714,01416,TENAY,01230,TENAY,NULL,0101000020E61000009FEE97AA0F0F1640BAA1CE810AF64640
25474,02723,SOIZE,02340,SOIZE,NULL,0101000020E6100000CF08803B9A541040EBB424F63FD94840
26490,06132,SAORGE,06540,SAORGE,NULL,0101000020E61000001CD36E4FEB291E40DCC24E0C24FF4540
30794,17183,GREZAC,17120,GREZAC,NULL,0101000020E610000058D7570D78CFEABFA7B805A6AECD4640
31400,18278,VESDUN,18360,VESDUN,NULL,0101000020E61000006208A5D4CA790340D56C2FB399474740
31550,19135,MESTES,19200,MESTES,NULL,0101000020E6100000AB4B7CA47788024031CAD87514BF4640
33644,24541,SOUDAT,24360,SOUDAT,NULL,0101000020E6100000F29FC959332DE23F60D916AFC3CF4640
33824,25143,CHAY,25440,CHAY,NULL,0101000020E6100000CA294BBE237417408347C08D39844740
34338,26016,AUBRES,26110,AUBRES,NULL,0101000020E6100000E65C8AABCA9E1440C8D00C3D3D324640
35157,27417,MORGNY,27150,MORGNY,NULL,0101000020E6100000483B246BC347F93F64027E8DA4AF4840
38512,33510,SEMENS,33490,SEMENS,NULL,0101000020E61000004235CA9F14D2CDBF92178854874E4640
39768,37240,SAUNAY,37110,SAUNAY,NULL,0101000020E610000074289E0EBFB6EE3FE889E76C81CC4740
40303,38489,SIEVOZ,38350,SIEVOZ,NULL,0101000020E6100000F34C79BEB0661740546DDC07C5734640
40523,39138,CHEMIN,39120,CHEMIN,NULL,0101000020E6100000ECE86E8DBE44154000811832E87C4740
40654,39270,JOUHE,39100,JOUHE,NULL,0101000020E6100000523EA99B30EE1540325DE38E92914740
40730,39338,MOLAY,39500,MOLAY,NULL,0101000020E6100000D3D5C2D1FAB01540736891EDFC814740
41045,40068,CASSEN,40380,CASSEN,NULL,0101000020E610000020CC92A57BC2EBBFFC654172FCE04540
42035,43082,CRONCE,43300,CRONCE,NULL,0101000020E61000005EC367469ADB0A40D66AB4C1AE894640
42449,44199,SOUDAN,44110,SOUDAN,NULL,0101000020E610000034DEB133E097F4BFCB45216EF3DC4740
44758,51039,BASSU,51300,BASSU,NULL,0101000020E6100000C2DABD816EC41240FA46CF88AD6A4840
45587,52218,GERMAY,52230,GERMAY,NULL,0101000020E6100000B638BE51867D1540C9F264ED25344840
46028,53120,IZE,53160,IZE,NULL,0101000020E610000017DDD506821BD3BF7EC3E9C9A11C4840
47163,55359,MORLEY,55290,MORLEY,NULL,0101000020E6100000B8AC67AD0DE61440A5660FB482494840
47854,57193,ENNERY,57365,ENNERY,NULL,0101000020E6100000BFAE70DC73E61840D00EB8AE189D4840
47951,57282,HAGEN,57570,HAGEN,NULL,0101000020E6100000BA5862AFC1A81840A6F10BAFA4BF4840
49331,59568,SERCUS,59173,SERCUS,NULL,0101000020E61000002B3BB313149503407EC2D9ADE55A4940
